ABLE,Capable
COKE,Classic soda brand
BEAR,The Hulu chef show
STAY,Rihanna hit song
BOLT,Sprinter Usain
ELON,Tesla's Musk
META,Facebook parent name
IDOL,American ___ show
KATE,Winslet of Titanic
ALEC,Baldwin of film
PEPE,Le Pew of cartoons
POGO,Classic comic strip
SULU,Star Trek helmsman
RENE,Actress Russo
HUGH,Grant or Jackman
MICK,Jagger of the Stones
BONO,U2 lead singer
YODA,Green Jedi master
THOR,Hammer-wielding god
HULK,Smashed-up Avenger
LOKI,Marvel trickster god
KISS,Rock band in face paint
GENE,Kelly of Singin' in the Rain
DEAN,James of East of Eden
BRAD,Actor Pitt
JUDE,Actor Law
NEIL,Diamond or Armstrong
NORA,Director Ephron
GLEE,Musical TV series
LOST,Mysterious island show
NALA,Simba's mate
LEGO,Interlocking toy brick
SONY,Walkman or PlayStation maker
EBAY,Auction website
ETSY,Crafty website
UBER,Ride-sharing app
TINA,Fey or Turner
LIZA,Minnelli of Cabaret
REBA,Country star McEntire
BELA,Lugosi of Dracula
OZZY,The Prince of Darkness
AXEL,Foley of Beverly Hills Cop
BEBE,Neuwirth of Cheers
CARY,Actor Grant
DREW,Barrymore or Carey
EDIE,Falco of The Sopranos
FAYE,Dunaway of film
GARY,Cooper or Oldman
HOPE,Comedian Bob
IMAN,Supermodel
JOAN,Crawford or Rivers
LANA,Singer Del Rey
OMAR,Sharif of Zhivago
SEAN,Connery or Penn
VERA,Designer Wang
NOEL,Christmas carol
ZANE,Actor Billy
TYRA,Banks of Top Model
GIGI,Best Picture of 1958
ELLA,Fitzgerald of jazz
JONI,Singer Mitchell
GALE,Dorothy's last name
AMOS,Famous cookie man
PASS,We must ____ this class
OTTO,Director Preminger
RITA,Hayworth of film
MONK,Detective Adrian
VEEP,Selina Meyer's show
ERIN,Brockovich
ANNA,Frozen princess
ODIE,Garfield's dog
SNOW,Jon of Thrones
DORA,The Explorer
DEVO,Whip It band
INXS,Need You Tonight band
KPOP,BTS genre
IPOD,Apple music player
OLGA,Gymnast Korbut
NERO,Star Trek villain
DALI,Artist Salvador
ANDY,Warhol or Griffith
RICK,Astley or Grimes
HANS,Frozen villain
TESS,Literature heroine
IVAN,Drago of Rocky IV
GAGA,Lady of pop
SADE,Smooth Operator singer
NINA,Simone of jazz
SEAL,Kiss from a Rose singer
EMMA,Stone or Watson
WILL,Smith or Ferrell
JACK,Titanic hero
ROSE,Titanic heroine
PAUL,McCartney or Newman
STAN,Marvel legend Lee
NICK,Nolte or Fury
LENO,Late night Jay
KANE,Citizen of film
PECK,Gregory of film
STYX,Renegade band
KHAN,Star Trek villain
PINK,So What singer
BECK,Loser singer
DUFF,Hilary or beer
LIAM,Neeson or Hemsworth
NASH,Graham of CSNY
BABE,The movie pig
RAID,___ of the Lost Ark
HOTH,Star Wars ice planet
DUNE,Arrakis film
TOTO,Dorothy's dog
LUCY,Ball of comedy
DESI,Arnaz of comedy
ELMO,Red Sesame Street muppet
BERT,Ernie's roommate
ABBY,Sesame Street fairy
JOHN,Lennon or Wayne
DAVE,Grohl of Foo Fighters
KURT,Cobain or Russell
BILL,Gates or Murray
MARK,Zuckerberg or Hamill
JEFF,Bezos or Bridges
ELLY,May Clampett
GRAN,Hillbillies matriarch
ADAM,Sandler or West
ALAN,Arkin or Rickman
ALEX,Jeopardy host Trebek
ALMA,Mrs. Hitchcock
ANNE,Hathaway or Rice
ARLO,Guthrie of folk
BESS,First Lady Truman
BUCK,Rogers or Owens
BURT,Reynolds or Bacharach
CHAD,Michael Murray
CORY,Monteith of Glee
DANA,Carvey of SNL
DANE,Comedian Cook
DICK,Van Dyke or Clark
DIDI,Actress Conn
DIRK,Benedict of A-Team
DUKE,John Wayne's nickname
EARL,James ___ Jones
EDNA,Dame Everage
ERIC,Clapton or Idle
ERMA,Humorist Bombeck
ESAI,Actor Morales
EVAN,Rachel Wood
EWOK,Fuzzy Star Wars creature
FINN,Huckleberry or Star Wars hero
GINA,Lollobrigida of film
GLEN,Singer Campbell
GREG,Actor Kinnear
GWEN,Stefani of No Doubt
HANK,Williams or Aaron
IAGO,Aladdin's parrot
IGGY,Singer Pop
ILSA,Bergman in Casablanca
IRON,___ Man of Marvel
JAKE,Gyllenhaal or Tapper
JANE,Fonda or Austen
JEAN,Harlow of film
JEDI,Star Wars knight
JOSS,Director Whedon
JUNE,Cleaver of TV
KATY,Singer Perry
KONG,Giant skull island ape
KRIS,Jenner or Kristofferson
KYLO,Ren of Star Wars
LARA,Croft of Tomb Raider
LENA,Horne or Dunham
LILY,Actress Tomlin
LOLA,Showgirl in Copacabana
LONI,Actress Anderson
LULU,To Sir with Love singer
LYNN,Actress Redgrave
MACY,Gray or department store
MADS,Actor Mikkelsen
MARY,Poppins or Tyler Moore
MATT,Damon or Dillon
MAME,Broadway musical
MAYA,Angelou or Rudolph
MILA,Actress Kunis
MILO,Actor Ventimiglia
MIMI,Actress Rogers
MIKE,Myers or Tyson
MORK,Robin Williams alien
NOAH,Ark builder
PHIL,Collins or Donahue
POLO,Explorer Marco
PUCK,Real World star
REED,Actress Donna
RUSS,Director Meyer
SETH,Rogen or MacFarlane
SHAQ,O'Neal of NBA
TONY,Bennett or Soprano
URSA,Superman II villain
WALT,Disney or Whitman
WARD,Beaver's dad
ZEUS,Greek king of gods
ALVA,Edison's middle name
AMES,Leon of film
ARNO,Cartoonist Peter
ASIA,Heat of the Moment band
ASTA,Thin Man dog
BALE,Christian of Batman
BARD,Shakespeare nickname
BEAT,Ginsberg's group
BERG,Director Ingmar
BLUE,Man Group performers
BOAT,Love ___ setting
BORN,This Way singer's hit
BRET,Michaels of Poison
CAGE,Nicolas of film
CAPE,Fear or Cod
CASH,Johnny of country
CLIO,Ad world award
COOP,Gary's film nickname
CUBA,Gooding Jr. of film
DEPP,Johnny of film
EGON,Spengler of Ghostbusters
FAME,I'm Gonna Live Forever film
FATE,Doctor of DC Comics
FLIP,Wilson of comedy
GORE,Vidal or Al
HALE,Alan of Gilligan's
HARP,Harpo's instrument
HART,Kevin of comedy
HERB,Alpert of the Brass
HOLM,Ian of Rings
INDY,Jones's nickname
IRMA,La Douce role
JILL,St. John of film
JOEL,Coen brother
JOEY,Tribbiani of Friends
KYLE,MacLachlan of TV
LADY,Tramp's partner
LASS,Lassie dog
LEON,The Professional film
LORI,Singer of film
LUNA,Lovegood of Hogwarts
DAMN,____ it!
MACE,Windu of Star Wars
MARC,Anthony of song
MAUI,Moana demigod
NEMO,Finding clownfish
NICO,Velvet Underground singer
PAGE,Elliot of Juno
PETE,Townshend of The Who
POOH,Winnie the ___
RAIN,Man movie
RING,Lord of the ___
ROAD,House movie
ROCK,The ___ Johnson
ROMY,High school reunion girl
RORY,Gilmore girl
RUTH,Babe of baseball
SARA,Smile song
SHAW,George Bernard
SHEA,Former Mets stadium
SIMS,Life simulation game
SLIM,Shady's first name
STAR,Trek or Wars
SWAN,Lake or Black
TACO,Bell of fast food
TOBY,Keith of country
TREK,Star franchise
TROY,Bolton of musical
XENA,Warrior Princess
BABS,Streisand's nickname
BEAM,Me up Scotty
CLEO,Laine of jazz
DEER,The Hunter
MARV,Albert of sports
MIRO,Artist Joan
PEET,Amanda of film
RAVE,Techno party
RICO,Suave singer
TIVO,DVR brand
TRUE,Grit movie
YURI,Gagarin of space
