ABBEY,Monastery
PRUDE,Very proper person
PRUNE,Trim or dried plum
PSALM,Religious song
PUDGY,Slightly fat
PULSE,Heartbeat rhythm
PUNCH,Strike with fist
PUPIL,Student
PUPPY,Young dog
PURGE,Remove
PURSE,Small bag for money
PUSHY,Aggressively ambitious
QUACK,Duck sound
QUAIL,Small game bird
QUAKE,Shake
QUALM,Misgiving
QUARK,Subatomic particle
QUART,Unit of volume
QUASH,Reject as invalid
QUEEN,Female monarch
QUELL,Suppress
QUERY,Question
QUEST,Long search
QUEUE,Line of waiting people
QUICK,Fast
QUIET,Without noise
QUILT,Padded blanket
QUIRK,Odd habit
QUITE,Completely
QUOTA,Fixed share
QUOTE,Repeat words
RABBI,Jewish religious leader
RABID,Extreme
RACER,Competitive runner
RADAR,Radio detection system
RADII,Plural of radius
RADIO,Sound broadcast device
RAINY,Wet weather
RALLY,Mass meeting
RAMPS,Inclined surfaces
RANCH,Cattle farm
RANGE,Extent
RANKS,Military positions
RAPID,Fast
RASPY,Hoarse
RATIO,Proportion
RAVEN,Large black bird
RAYON,Synthetic fabric
RAZOR,Shaving blade
REACH,Extend to
READY,Prepared
REALM,Kingdom
REBEL,Resist authority
REBUS,Picture puzzle
RECAP,Brief summary
REFER,Direct attention
REHAB,Recovery program
REIGN,Rule as monarch
REINS,Horse controls
RELAX,Rest
RELAY,Pass along
REMIT,Send money
RENEW,Make new again
REPAY,Pay back
REPEL,Drive away
REPLY,Answer
RESIN,Sticky plant substance
RETCH,Vomit
RETRO,Imitative of the past
REUSE,Use again
RHINO,Large horned animal
RHYME,Matching sounds
RIDER,Person on horseback
RIDGE,Long narrow hill
RIFLE,Long-barreled gun
RIGHT,Correct or direction
RIGID,Stiff
RINGS,Circular bands
RINKS,Ice skating areas
RINSE,Wash lightly
RIPEN,Mature
RISER,One who gets up
RISKY,Involving danger
RIVAL,Competitor
RIVER,Flowing body of water
RIVET,Metal fastener
ROAMS,Wanders
ROAST,Cook in oven
ROBIN,Small red-breasted bird
ROBOT,Automated machine
ROCKS,Stones
ROCKY,Full of rocks
RODEO,Cowboy competition
ROGUE,Dishonest
ROLES,Parts played
ROMAN,Relating to Rome
ROOFS,Tops of buildings
ROOKS,Chess pieces
ROOMS,Spaces
ROOST,Bird sleeping place
ROOTS,Plant anchors
ROPES,Thick cords
ROTOR,Spinning part
ROUGE,Red makeup
ROUGH,Not smooth
ROUND,Circular
ROUSE,Wake up
ROUTE,Path
ROUTS,Heavy defeats
ROVER,Wanderer
ROWDY,Noisy and rough
ROYAL,Relating to royalty
RUGBY,Contact ball sport
RUINS,Destroyed remains
RULED,Governed
RULER,Measuring stick
RUMBA,Cuban dance
RUMOR,Unverified claim
RUNNY,Too liquid
RURAL,Relating to countryside
RUSTY,Covered in rust
SABER,Curved sword
SADLY,With sadness
SAFER,More secure
SAGAS,Long stories
SAINT,Holy person
SALAD,Cold vegetable dish
SALES,Transactions
SALON,Hair shop
SALSA,Hot sauce or Latin dance
SALTY,Tasting of salt
SALVO,Simultaneous firing
SANDY,Covered in sand
SASSY,Boldly confident
SATIN,Smooth shiny fabric
SAUCE,Liquid food condiment
SAUCY,Impudent
SAUNA,Steam bath
SAVED,Rescued
SAVOR,Enjoy
SAVVY,Practical knowledge
SCALD,Burn with hot liquid
SCALE,Weighing device
SCALP,Top of head
SCAMP,Mischievous person
SCANT,Barely sufficient
SCARE,Frighten
SCARF,Neck garment
SCARY,Frightening
SCENE,View
SCENT,Smell
SCOFF,Mock
SCOLD,Reprimand
SCONE,Small baked bread
SCOOP,Hollow spoon
SCOOT,Move quickly
SCOPE,Range
SCORE,Points in a game
SCORN,Contempt
SCOUR,Clean vigorously
SCOUT,Person who explores
SCOWL,Angry frown
SCRAM,Leave quickly
SCRAP,Small leftover piece
SCREW,Threaded fastener
SCRIP,Paper money
SCRUB,Clean by rubbing
SCUBA,Underwater breathing
SCUFF,Mark from rubbing
SEEDS,Plant embryos
SEEDY,Shabby
SEEKS,Searches
SEEMS,Appears
SEEPS,Slowly leaks
SEIZE,Take forcefully
SENSE,Perceive
SEPIA,Brown tone
SERUM,Blood fluid
SERVE,Attend to
SETUP,Arrangement
SEVEN,Number after six
SEVER,Cut apart
SEWED,Past of sew
SEWER,Drainage pipe
SHACK,Rough small dwelling
SHADE,Shelter from light
SHADY,Not fully honest
SHAFT,Narrow passage
SHAKE,Move rapidly
SHAKY,Trembling
SHALL,Will
SHAME,Embarrassment
SHANK,Leg section
SHAPE,Form or outline
SHARD,Broken piece
SHARE,Distribute
SHARK,Large predatory fish
SHARP,Having a keen edge
SHAVE,Cut hair close
SHAWL,Large wrap
SHEAF,Bundle of grain
SHEAR,Cut with scissors
SHEEN,Soft shininess
SHEEP,Woolly farm animal
SHEER,Transparent
SHEET,Rectangular piece
SHELF,Horizontal storage surface
SHELL,Hard outer casing
SHIED,Shrunk back
SHIFT,Change
SHINE,Emit light
SHINY,Reflecting light
SHIRE,Rural district
SHIRK,Avoid duty
SHIRT,Upper garment
SHOAL,Shallow water
SHOCK,Sudden surprise
SHONE,Past of shine
SHOOK,Past of shake
SHOOT,Fire a weapon
SHORE,Land near water
SHORN,Past of shear
SHORT,Not long
SHOUT,Cry out loudly
SHOVE,Push roughly
SHOWN,Displayed
SHOWY,Ostentatious
SHRED,Tear into strips
SHREW,Small mouse-like animal
SHRUB,Woody plant
SHRUG,Lift shoulders
SHUCK,Remove husk
SHUNT,Push aside
SIEGE,Military blockade
SIEVE,Strainer
SIGHS,Long exhales
SIGHT,Vision
SIGMA,Greek letter
SIGNS,Symbols
SILKY,Smooth like silk
SILLY,Foolish
SILOS,Grain storage towers
SINCE,From a time until now
SINGE,Burn lightly
SINGS,Performs music
SIREN,Warning device
SIRUP,Sweet liquid
SIXTH,Number six in order
SIXTY,Number 60
SIZED,Having a size
SKATE,Glide on ice or wheels
SKEIN,Length of yarn
SKIFF,Small boat
SKILL,Ability from practice
SKIMP,Scrimp
SKIRT,Below-waist garment
SKULL,Bony head structure
SKUNK,Black-and-white smelly animal
SLACK,Loose
SLAIN,Killed
SLAMS,Shuts hard
SLANG,Informal speech
SLANT,Angle
SLAPS,Hits with open hand
SLASH,Cut with a sweeping motion
SLATE,Dark gray rock
SLAVE,Unpaid laborer
SLEEK,Smooth and glossy
SLEEP,Rest at night
SLEET,Mix of rain and snow
SLEPT,Past of sleep
SLICE,Thin cut
SLICK,Smooth and glossy
SLIDE,Move smoothly
SLIME,Unpleasant wet substance
SLING,Hanging strap
SLINK,Move stealthily
SLOPE,Inclined surface
SLOSH,Splash liquid
SLOTH,Slow-moving mammal
SLUMP,Sudden fall
SLUNG,Past of sling
SLUNK,Past of slink
SLUSH,Half-melted snow
SMACK,Hit sharply
SMALL,Little in size
SMART,Intelligent
SMASH,Break violently
SMEAR,Spread messily
SMELL,Sense of odor
SMELT,Extract metal
SMILE,Happy facial expression
SMIRK,Smug smile
SMITE,Strike
SMOCK,Loose garment
SMOKE,Gas from burning
SMOKY,Full of smoke
SMOTE,Past of smite
SNACK,Small food portion
SNAIL,Slow creature with a shell
SNAKE,Legless reptile
SNAKY,Like a snake
SNAPS,Breaks
SNARE,Trap
SNARL,Growl or tangle
SNEAK,Move secretly
SNEER,Scornful look
SNIFF,Inhale through nose
SNIPE,Long-billed bird
SNOBS,Haughty people
SNOOP,Pry
SNORE,Loud breathing during sleep
SNORT,Exhale noisily
SNOUT,Animal's nose and mouth
SNOWS,Falls of white flakes
SNOWY,Covered in snow
SNUCK,Sneaked
SNUFF,Sniff out
SOAKS,Saturates
SOAPY,Lathery
SOBER,Not drunk
SOGGY,Wet and soft
SOLAR,Relating to the sun
SOLID,Firm substance
SOLVE,Find the answer
SONAR,Sound detection
SONGS,Musical pieces
SONIC,Relating to sound
SOOTY,Covered in soot
SORRY,Feeling regret
SOULS,Spirits
SOUND,Vibration perceived as noise
SOUPY,Like soup
SOUTH,Direction opposite north
SOWED,Past of sow
SPACE,Infinite universe
SPADE,Digging tool
SPANK,Slap on the bottom
SPARE,Extra or save
SPARK,Small fiery particle
SPEAK,Talk
SPEAR,Long pointed weapon
SPECK,Tiny spot
SPEED,Rate of movement
SPELL,Magic words or period
SPEND,Use money
SPENT,Past of spend
SPICE,Flavoring substance
SPICY,Hot flavored
SPIED,Past of spy
SPIEL,Glib speech
SPIES,Secret agents
SPIKE,Sharp pointed object
SPILL,Cause to flow over
SPINE,Backbone
SPITE,Desire to hurt
SPLAT,Splashing sound
SPOIL,Ruin
SPOKE,Past of speak
SPOOF,Parody
SPOOK,Ghost
SPOOL,Cylinder for winding
SPOON,Eating utensil
SPORE,Reproductive cell
SPORT,Athletic activity
SPOUT,Nozzle
SPRAY,Fine mist
SPREE,Period of indulgence
SPRIG,Small twig
SPUNK,Spirit
SPURN,Reject
SPURS,Rider motivators
SQUAD,Small team
SQUAT,Crouch down
SQUID,Sea creature with tentacles
STACK,Pile
STAFF,Employees
STAGE,Platform
STAID,Sedate
STAIN,Discolor
STAIR,Step
STAKE,Pointed post
STALE,No longer fresh
STALK,Follow stealthily
STALL,Small booth
STAMP,Mark with a device or postage
STAND,Be upright
STANK,Smelled bad
STAPH,Bacteria type
STARE,Look fixedly
STARK,Severe
STARS,Celestial bodies
START,Begin
STASH,Hidden store
STATE,Country division
STAVE,Put off
STEAD,Place of another
STEAK,Beef slice
STEAL,Take without permission
STEAM,Water vapor
STEED,Horse
STEEL,Strong metal alloy
STEEP,Sharply inclined
STEER,Guide
STEIN,Beer mug
STEMS,Plant stalks
STEPS,Footfalls
STERN,Strict
STEWS,Slow-cooked dishes
STICK,Thin piece of wood
STIFF,Not flexible
STILL,Motionless
STILT,Long pole
STING,Sharp pain
STINK,Bad smell
STINT,Fixed period
STIRS,Mixes
STOCK,Supply
STOIC,Unemotional
STOKE,Fuel a fire
STOLE,Past of steal
STOMP,Tread heavily
STONE,Rock
STOOD,Past of stand
STOOL,Seat without a back
STOOP,Bend forward
STOPS,Halts
STORE,Shop
STORK,Long-legged white bird
STORM,Violent weather
STORY,Narrative
STOUT,Thick and strong
STOVE,Cooking appliance
STRAP,Strip of material
STRAW,Dry grass stalk
STRAY,Wander off
STREW,Scatter
STRIP,Remove
STRUT,Walk proudly
STUCK,Unable to move
STUDY,Learn or examine
STUFF,Things
STUMP,Tree base left after cutting
STUNG,Past of sting
STUNK,Past of stink
STUNT,Daring feat
STYLE,Manner or fashion
SUAVE,Polished
SUGAR,Sweet crystalline substance
SUING,Taking to court
SUITE,Set of rooms
SULKY,Moody
SUNNY,Full of sunshine
SUPER,Excellent
SURGE,Sudden rush
SURLY,Bad-tempered
SWAMI,Hindu teacher
SWAMP,Marshy ground
SWANK,Fancy
SWAPS,Exchanges
SWARM,Large group of insects
SWASH,Splash noisily
SWATH,Broad strip
SWAYS,Rocks back and forth
SWEAR,Promise
SWEAT,Perspiration
SWEEP,Clean with a broom
SWEET,Sugary taste
SWELL,Expand
SWEPT,Past of sweep
SWIFT,Fast moving
SWILL,Gulp down
SWINE,Pigs
SWING,Move back and forth
SWIPE,Steal
SWIRL,Move in circles
SWISH,Rustle
SWOON,Faint with emotion
SWOOP,Sudden dive
SWORD,Long bladed weapon
SWUNG,Past of swing
SYRUP,Thick sweet liquid
TABBY,Striped cat
TABLE,Flat surface on legs
TACIT,Understood without being said
TAFFY,Chewy candy
TAILS,Rear appendages
TAKEN,Past participle of take
TAKER,One who accepts
TALES,Stories
TALKS,Conversations
TALLY,Count
TALON,Bird's claw
TAMED,Made gentle
TANGO,Ballroom dance
TANGY,Sharp taste
TANKS,Large containers
TAPED,Recorded
TAPER,Gradually narrow
TARDY,Late
TARRY,Linger
TARTS,Small pastries
TASKS,Jobs
TASTE,Sensation from flavor
TASTY,Pleasant flavor
TAUNT,Tease or provoke
TAUPE,Grayish brown
TAUTS,Pulled tight
TAWNY,Yellowish brown
TEACH,Instruct
TEAMS,Groups
TEARS,Eye drops
TEASE,Playfully annoy
TEENS,Teenagers
TEENY,Very small
TEETH,Mouth bones
TELLS,Informs
TEMPO,Speed of music
TEMPS,Temperatures
TEMPT,Entice
TENDS,Cares for
TENET,Belief
TENOR,Male voice
TENSE,Strained
TENTH,Number ten in order
TENTS,Portable shelters
TEPEE,Native American dwelling
TEPID,Lukewarm
TERMS,Periods
TERSE,Brief and to the point
TESTS,Trials
TEXAS,Lone Star State
THANK,Express gratitude
THEFT,Stealing
THEIR,Belonging to them
THEME,Main subject
THERE,In that place
THESE,The ones nearby
THETA,Greek letter
THICK,Wide
THIEF,One who steals
THIGH,Upper leg
THINE,Yours archaic
THING,Object
THINK,Use the mind
THIRD,Number three in order
THONG,Narrow strap
THORN,Sharp plant protrusion
THOSE,Those things
THREE,Number after two
THREW,Past of throw
THROB,Pulse or beat
THROW,Propel through air
THRUM,Strum
THUMB,Shortest finger
THUMP,Heavy knock
THYME,Fragrant herb
TIARA,Jeweled headpiece
TIDAL,Relating to tides
TIDES,Sea movements
TIGER,Large striped wild cat
TIGHT,Snug
TILDE,Accent mark
TILED,Covered with tiles
TILES,Flat ceramic pieces
TILLS,Cultivates
TILTS,Leans
TIMED,Measured duration
TIMES,Eras
TIMID,Lacking confidence
TIRED,Needing rest
TITAN,Person of great strength
TITHE,Tenth part
TITLE,Name of a work
TOADS,Warty amphibians
TOAST,Browned bread
TODAY,This day
TOKEN,Symbol
TOPAZ,Yellow gemstone
TOPIC,Subject
TORCH,Handheld light
TORSO,Trunk of the body
TOTAL,Complete sum
TOTEM,Sacred symbol
TOUCH,Feel with the hand
TOUGH,Strong or difficult
TOURS,Journeys
TOWED,Pulled
TOWEL,Absorbent cloth
TOWER,Tall structure
TOWNS,Small urban areas
TOXIC,Poisonous
TOXIN,Poisonous substance
TOYED,Played
TRACE,Follow a trail
TRACK,Path or monitor
TRACT,Land area
TRADE,Exchange of goods
TRAIL,Path
TRAIN,Railway vehicle
TRAIT,Characteristic
TRAMP,Walk heavily
TRAPS,Snares
TRASH,Rubbish
TRAWL,Fish with a net
TRAYS,Flat carrying surfaces
TREAD,Step on
TREAT,Something pleasurable
TREES,Woody plants
TREKS,Long journeys
TREND,Current fashion
TRESS,Long lock of hair
TRIAD,Group of three
TRIAL,Court case
TRIBE,Social group
TRICK,Clever action
TRIED,Attempted
TRIES,Attempts
TRILL,Vibrating sound
TRIPE,Nonsense
TRITE,Overused
TROLL,Internet pest or troll
TROOP,Group of soldiers
TROUT,Freshwater fish
TROVE,Valuable collection
TRUCE,Agreement to stop fighting
TRUCK,Large goods vehicle
TRULY,Genuinely
TRUMP,Playing card
TRUNK,Tree base or luggage case
TRUSS,Support
TRUST,Belief in reliability
TRUTH,Fact
TRYST,Secret meeting
TUBAS,Brass instruments
TUBER,Underground stem
TULIP,Spring flower
TUMMY,Stomach
TUNED,Adjusted
TUNES,Melodies
TUNIC,Loose garment
TUTOR,Private teacher
TWANG,Nasal sound
TWEAK,Adjust slightly
TWEED,Rough wool cloth
TWEET,Bird chirp
TWICE,Two times
TWINE,Strong thread
TWINS,Two identical siblings
TWIRL,Spin around
TWIST,Turn
TWIXT,Between
ULCER,Sore
UNCLE,Parent's brother
UNDER,Below
UNDID,Reversed
UNDUE,Excessive
UNFED,Not fed
UNFIT,Not suitable
UNIFY,Make into one
UNION,Joining together
UNITE,Come together
UNITS,Single items
UNITY,State of being united
UNLIT,Without light
UNTIE,Undo a knot
UNTIL,Up to the time
UNZIP,Open a zip
UPPER,Higher
UPSET,Disturb
URBAN,Relating to a city
USAGE,Way of using
USERS,Those who use
USHER,Guide people to seats
USING,Employing
USUAL,Normal
UTTER,Speak
VAGUE,Not clear
VALET,Personal servant
VALID,Legally acceptable
VALOR,Courage in battle
VALUE,Worth
VALVE,Device controlling flow
VAPOR,Gas form of a liquid
VAULT,Arched room
VAUNT,Boast
VEINS,Blood vessels
VENOM,Poison from a snake
VERBS,Action words
VERGE,Edge or border
VERSE,Poetry
VERSO,Left-hand page
VERVE,Vigor
VETCH,Climbing plant
VEXED,Annoyed
VICES,Bad habits
VIDEO,Moving image recording
VIGIL,Night watch
VIGOR,Physical strength
VILLA,Country house
VINES,Climbing plants
VINYL,Plastic material
VIOLA,String instrument larger than violin
VIPER,Venomous snake
VIRAL,Spreading rapidly
VIRUS,Infectious microorganism
VISIT,Go and see
VISOR,Protective eye shield
VISTA,Scenic view
VITAL,Necessary
VIVID,Bright and striking
VIXEN,Female fox
VOCAL,Relating to the voice
VODKA,Clear distilled spirit
VOGUE,Popular fashion
VOICE,Speaking sound
VOILE,Thin fabric
VOMIT,Expel stomach contents
VOTED,Chose by ballot
VOTER,One who votes
VOTES,Ballots cast
VOUCH,Confirm
VOWED,Promised
VOWEL,A E I O U letters
VYING,Competing
WAFER,Thin biscuit
WAGED,Fought
WAGER,Bet
WAGES,Payments
WAGON,Four-wheeled cart
WAIST,Middle of the body
WAITS,Pauses
WAIVE,Give up a right
WAKED,Awakened
WAKES,Stops sleeping
WALES,UK country
WALKS,Strolls
WALLS,Vertical structures
WALTZ,Ballroom dance
WANDS,Magic sticks
WANES,Decreases
WANLY,Weakly
WANTS,Desires
WARDS,Hospital sections
WARES,Goods for sale
WARMS,Heats
WARNS,Alerts
WARPS,Bends
WARTS,Skin growths
WARTY,Having warts
WASPS,Stinging insects
WASTE,Use carelessly
WATCH,Observe
WATER,Clear life-giving liquid
WATTS,Electrical units
WAVED,Moved back and forth
WAVER,Hesitate
WAVES,Water swells
WAXED,Polished
WAXEN,Like wax
WEARY,Very tired
WEAVE,Interlace threads
WEDGE,V-shaped piece
WEEDS,Unwanted plants
WEEDY,Full of weeds
WEEKS,Seven-day periods
WEEPY,Prone to crying
WEIGH,Measure mass
WEIRD,Strange
WELLS,Water holes
WELSH,Relating to Wales
WELTS,Raised marks
WENCH,Young woman
WHACK,Hit hard
WHALE,Largest sea mammal
WHARF,Dock
WHEAT,Grain for bread
WHEEL,Circular rotating object
WHELP,Puppy
WHERE,In what place
WHICH,Identifying word
WHIFF,Slight smell
WHILE,During
WHINE,Complain
WHINY,Complaining
WHIPS,Strikes
WHIRL,Spin
WHISK,Stir quickly
WHIST,Card game
WHITE,Lightest color
WHOLE,Complete
WHOOP,Loud shout
WHOSE,Possessive of who
WIDEN,Make wider
WIDER,More broad
WIDTH,Measurement across
WIELD,Handle a tool or weapon
WIGHT,Person archaic
WIMPY,Feeble
WINCE,Flinch
WINDS,Moving air currents
WINDY,Breezy
WINED,Drank wine
WINES,Alcoholic grape drinks
WINGS,Bird limbs
WINKS,Eye closes
WIPED,Cleaned
WIPES,Cleans
WIRED,Connected
WIRES,Metal threads
WISER,More wise
WISPY,Thin and delicate
WITCH,Person practicing magic
WITHE,Flexible branch
WITTY,Clever and amusing
WIVES,Married women
WOKEN,Past of wake
WOMAN,Adult female
WOMEN,Adult females
WOODS,Forests
WOODY,Like wood
WOOED,Courted
WOOFS,Dog barks
WOOLY,Like wool
WORDS,Language units
WORDY,Using many words
WORKS,Artistic creations
WORLD,The earth
WORMY,Full of worms
WORRY,Feel anxious
WORSE,More bad
WORST,Most bad
WORTH,Value
WOULD,Conditional verb
WOUND,Injury
WOVEN,Past participle of weave
WRACK,Destruction
WRAPS,Covers by winding
WRATH,Extreme anger
WREAK,Cause damage
WRECK,Damaged vehicle
WREST,Pull violently
WRING,Twist to extract
WRIST,Joint between hand and arm
WRITE,Form letters
WRITS,Legal orders
WRONG,Incorrect
WROTE,Past of write
WRUNG,Past of wring
WRYLY,In a dry manner
YACHT,Sailing vessel
YARDS,Enclosed areas
YARNS,Spun threads
YAWNS,Tired exhales
YEARN,Long for
YEARS,Twelve-month periods
YEAST,Baking fungus
YIELD,Produce
YODEL,Alpine singing
YOKED,Harnessed
YOKEL,Country person
YOKES,Harnesses
YOLKS,Yellows of eggs
YOUNG,Not old
YOUTH,Young people
YUCKY,Disgusting
ZEBRA,Striped African horse
ZESTY,Full of flavor
ZIPPY,Fast and energetic
ZONAL,Relating to zones
ZONED,Divided into zones
ZONES,Designated areas
ZOOMS,Moves quickly

ALICE,Cooper or in Wonderland
ANNIE,Hall or Oakley
ASTIN,Sean of Rings fame
BACON,Six degrees actor Kevin
BATES,Norman of Psycho
BETTE,Midler or Davis
BILLY,Joel or Idol
BLAIR,Linda of The Exorcist
BRADY,Tom of the NFL
BRENT,Spiner of Star Trek
BRUCE,Springsteen or Wayne
CHASE,Chevy of SNL
CHRIS,Rock or Evans
CLARK,Gable or Kent
CONAN,O'Brien or Barbarian
CRAIG,Daniel of Bond fame
DANNY,DeVito of Sunny
DARYL,Hannah of Splash
DAVID,Bowie or Hasselhoff
DEBRA,Winger of film
DIANA,Princess or Ross
DORIS,Day of film
DRAKE,Hotline Bling singer
DYLAN,Bob or Thomas
EDDIE,Murphy or Van Halen
ELTON,Rocket Man John
ELVIS,Presley or Costello
EMILY,Blunt or Dickinson
ESTEE,Lauder of cosmetics
ETHAN,Hawke or Hunt
EWING,Dallas family name
FABIO,Romance novel model
FELIX,The cartoon cat
FREUD,Sigmund of psychology
GARBO,Greta of film
GATES,Bill of Microsoft
GENIE,Aladdin's lamp dweller
GLENN,Close of film
GRETA,Garbo or Gerwig
HANNA,Barbera's partner
HARRY,Potter or Styles
HELEN,Mirren or Hunt
HITCH,Hitchcock's nickname
HOMER,Simpson of Springfield
IDINA,Menzel of Frozen
IRENE,Cara of Flashdance
ISAAC,Mizrahi or Newton
JAMES,Bond or Dean
JANET,Jackson or Leigh
JARED,Leto of film
JASON,Bourne or Voorhees
JAYNE,Mansfield of film
JERRY,Lewis or Garcia
JESSE,Owens or James
JIMMY,Fallon or Stewart
JODIE,Foster of film
JONAS,Brotherly pop group
JUDAS,Priest or Iscariot
JUDGE,Judy of TV
JULIA,Roberts or Child
KATIE,Couric or Holmes
KEANU,Reeves of Matrix
KEITH,Richards or Urban
KELLY,Clarkson or Ripa
KEVIN,Bacon or Costner
KYLIE,Minogue or Jenner
LANCE,Armstrong of cycling
LAURA,Dern of Jurassic Park
LENNY,Kravitz or Bruce
LEONA,Lewis or Helmsley
LINUS,Van Pelt of Peanuts
LOGAN,Wolverine's name
LOPEZ,Jennifer of pop
LORNE,Michaels of SNL
LOUIS,Armstrong or C.K.
LUCAS,Star Wars creator George
LYNDA,Carter as Wonder Woman
MADGE,Madonna nickname
MAGOO,Nearsighted Mr.
MARGE,Simpson of Springfield
MARIO,Nintendo's plumber
MERYL,Streep of film
MILES,Davis of jazz
MINDY,Kaling of The Office
MINKA,Kelly of film
MOORE,Demi or Mandy
NAOMI,Campbell or Watts
NELLY,Hot in Herre rapper
NIGEL,Tufnel of Tap
NIXON,Watergate president
NOLAN,Director Christopher
NORAH,Jones of song
OPRAH,Winfrey of TV
ORSON,Welles of Kane
OSCAR,The Grouch or award
OZZIE,Osbourne or Nelson
PABLO,Picasso of art
PARIS,Hilton or France
PATTI,Smith or LuPone
PAULA,Abdul or Deen
PEGGY,Lee or Sue
PENNY,Big Bang Theory role
PERRY,Katy or Mason
PETER,Pan or Parker
PIXAR,Toy Story studio
PLUTO,Mickey's dog
QUEEN,The band or Latifah
QUINN,Medicine woman Dr.
RALPH,Lauren of fashion
RANDY,Newman or Jackson
REESE,Witherspoon of film
REGIS,Philbin of TV
RENEE,Zellweger of film
RINGO,Starr of the Beatles
ROBIN,Williams or Hood
ROCKY,Balboa or Horror
ROGER,Moore or Rabbit
RONAN,Saoirse of film
RYDER,Winona of film
SALLY,Field or Ride
SARAH,Jessica Parker
SELMA,Blair or film site
SHREK,Green animated ogre
SIMBA,The Lion King
SIMON,Garfunkel or Cowell
SNOOP,Dogg of rap
SONNY,And Cher partner
SPOCK,Star Trek Vulcan
STEVE,Jobs or Martin
SUSAN,Sarandon or Boyle
SYBIL,Fawlty or 70s film
TATUM,O'Neal or Channing
TESLA,Nikola or car
TIMON,Pumbaa's buddy
TOMMY,Hilfiger or Lee
TONYA,Harding of skating
TRACY,Spencer or Lord
TYSON,Mike or Cicely
USHER,Yeah! singer
VADER,Darth of Star Wars
VANNA,White of Wheel
VENUS,Williams of tennis
VIOLA,Davis of film
WANDA,Sykes or Vision
WAYNE,John or Gretzky
WHITE,Vanna or Betty
WILMA,Flintstone of Bedrock
WOLFE,Author Tom
WOODY,Allen or Harrelson
WYATT,Earp of the West
ZAPPA,Frank of rock
ZELDA,Nintendo princess
ZORRO,Masked swordsman
ADELE,Singer of Hello
ASHER,Actor Angel
BANJO,Deliverance instrument
BERRY,Chuck or Halle
BLOOM,Orlando of Rings
BRODY,Adrien or The Shark
CAREY,Mariah or Drew
CASEY,Kasem of radio
CINDY,Crawford or Lou Who
CLIVE,Owen or Davis
COHEN,Sacha Baron
COLIN,Farrell or Firth
COSMO,Kramer of Seinfeld
CURRY,Tim or Stephen
CYRUS,Miley or Billy Ray
DAMON,Matt or Wayans
DANTE,The Inferno writer
DARCY,Mr. of Pride
DENNY,Crane of TV
DEREK,Jeter or Bo
DEVOE,Bell Biv ___
DOLLY,Parton of country
DUFFY,Mercy singer
DUSTY,Springfield of song
EAMES,Designer Charles
EBERT,Critic with Siskel
ELROY,The Jetsons son
ENNIS,Brokeback Mountain
ERROL,Flynn of film
FARGO,Coen brothers film
FLYNN,Errol of film
FONDA,Jane or Henry
GAVIN,Rossdale of Bush
GILES,Buffy's watcher
GOMEZ,Selena of pop
GRACE,Kelly or Jones
GRANT,Cary or Hugh
GRIER,Pam of Jackie Brown
GUEST,Christopher of Tap
HADES,Greek underworld god
HAILE,Selassie of history
HEATH,Ledger of Batman
HEDDY,Lamarr of film
HENRY,Ford or Winkler
HINES,Gregory of tap
HOGAN,Hulk of wrestling
HOLLY,Hunter or Buddy
HORNE,Lena of jazz
HYNDE,Chrissie of Pretenders
IDRIS,Elba of The Wire
IRWIN,Steve the Hunter
JADEN,Smith of film
JANIS,Joplin of rock
JETER,Derek of Yankees
JILLY,Cooper or Bean
JOELY,Richardson of film
JONES,Tom or Norah
JOSIE,The Pussycat leader
JULIE,Andrews or Walters
KANYE,West of rap
KATHY,Griffin or Bates
KENNY,Rogers or Loggins
KIRBY,Nintendo character
KNUTE,Rockne of football
LABEL,Patti ___
LACEY,Chabert of Mean Girls
LAMAR,Kendrick of rap
LAMAS,Lorenzo of TV
LANZA,Mario of song
LEERY,Dawson of the Creek
LEIGH,Janet or Vivien
LEMON,Liz of 30 Rock
LENIN,Russian leader
LEONI,Tea of film
LEROY,Brown of song
LEWIS,Jerry or Daniel
LIBBY,Dole or canned food
LINDA,Ronstadt or Evans
LLOYD,Webber or Bridges
LOBEL,Author Arnold
LODGE,Veronica of comics
LORRE,Peter of film
LOTTE,Lenya of song
LUIGI,Mario's brother
LUPIN,Professor Remus
LYNCH,David or Marshawn
LYONS,Cookie of Empire
MABEL,Norman of comedy
MAUDE,Bea Arthur role
MCCOY,The Star Trek doctor
MEGAN,Fox or Thee Stallion
MELBA,Toast or Moore
MIAMI,Vice location
MIDAS,The golden king
MILAN,Fashion capital
MILNE,Pooh creator A.A.
MISHA,Barton or Collins
MITZI,Gaynor of film
MOLLY,Ringwald of film
MONET,Claude of art
MONTY,Python or Hall
MORSE,Inspector of TV
MOSES,The Ten Commandments
MOTEL,Bates ___
MOVIE,Cinematic production
MYRNA,Loy of film
NADIA,Comaneci of gym
NEVIL,Shute of books
NILES,Crane of Frasier
NIMOY,Leonard as Spock
NOBLE,Barnes and ___
NORMA,Jean or Rae
NYONG,Lupita of film
ODELL,Beckham Jr.
ODETS,Playwright Clifford
OWENS,Jesse or Terrell
OZARK,Netflix crime show
PADMA,Lakshmi of Top Chef
PAGET,Brewster of TV
PAIGE,Satchel of baseball
LOSER,Not a winner
PALIN,Sarah or Michael
PATSY,Cline of country
PAYNE,John of film
PEARL,Jam or Bailey
PEETE,Rodney of NFL
PEREZ,Rosie of film
